Nombre del equipo,Categoría,Fecha de adquisición,Vida útil,Estado
Bicicleta Estatica,Otro,22/09/2023,2,Activo
Caminadora,Electronico,02/11/2021,9,Inactivo
Eliptica,Otro,23/06/2022,10,Activo
Pesas Libres,Electronico,15/11/2021,1,Activo
Barra Olimpica,Mecanico,01/06/2023,8,Activo
Banco de Pesas,Otro,12/07/2022,6,Inactivo
Maquina de Remo,Electranico,22/03/2023,7,Activo
Prensa de Piernas,Otro,01/06/2022,10,Inactivo
Multipower,MecÃ¡nico,17/11/2019,5,Activo
Cuerda para Saltar,Mecanico,26/04/2023,4,Activo
Estacion de Fondos,Otro,28/06/2022,5,Activo
Rueda de Abdominales,Mecanico,25/11/2021,1,Activo
Set de Mancuernas,Mecanico,04/02/2023,5,Activo
Banda de Resistencia,Mecanico,27/02/2021,1,Activo
Banco Ajustable,Otro,08/08/2022,4,Inactivo
Rodillo de Espuma,Otro,11/08/2024,9,Inactivo
Jaula de Potencia,Electronico,31/05/2023,1,Activo
Maquina de Extensiones,Electronico,18/12/2022,7,Activo
Discos de Peso,Otro,06/05/2022,10,Activo
Maquina de Triceps,Otro,14/04/2020,8,Inactivo
Maquina de Biceps,Otro,19/09/2022,7,Inactivo
Piso de Goma,Otro,08/04/2022,4,Activo
Paralelas,Mecanico,14/02/2021,7,Activo
Balon Medicinal,Otro,26/03/2020,10,Activo
Saco de Boxeo,Mecanico,21/06/2023,9,Inactivo
